,City1_State,City1,City2_State,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
960,Queensland,BRISBANE,Western Australia,PROSERPINE,31352,4546,74,64,895,4068670.0,6357297.0,7103,1985,11
961,Queensland,BRISBANE,Queensland,ROCKHAMPTON,31352,21215,301,72.8,518,10989370.0,15095288.0,29141,1985,11
962,Queensland,BRISBANE,New South Wales,SYDNEY,31352,101935,950,72.7,753,76757055.0,105580543.0,140213,1985,11
963,Queensland,BRISBANE,Queensland,TOWNSVILLE,31352,34040,387,83.7,1112,37852480.0,45223990.0,40669,1985,11
964,Western Australia,BROOME,Western Australia,PERTH,31352,523,9,77.5,1677,877071.0,1131705.0,675,1985,11
965,Queensland,CAIRNS,New South Wales,SYDNEY,31352,701,10,61.6,1971,1381671.0,2242972.0,1138,1985,11
966,Queensland,CANBERRA,Victoria,MELBOURNE,31352,35291,488,65.5,470,16586770.0,25323313.0,53879,1985,11
967,Queensland,CANBERRA,New South Wales,SYDNEY,31352,52132,936,61.6,236,12303152.0,19972649.0,84630,1985,11
968,New South Wales,COFFS HARBOUR,New South Wales,SYDNEY,31352,5557,152,70.3,443,2461751.0,3501780.0,7905,1985,11
969,Tasmania,DEVONPORT,Victoria,MELBOURNE,31352,10661,334,68.2,412,4392332.0,6440370.0,15632,1985,11
970,New South Wales,DUBBO,New South Wales,SYDNEY,31352,5930,150,75.4,310,1838300.0,2438064.0,7865,1985,11
971,New South Wales,GOLD COAST,New South Wales,SYDNEY,31352,38329,419,81.9,680,26063720.0,31823834.0,46800,1985,11
972,Tasmania,HOBART,Victoria,MELBOURNE,31352,23446,372,67.4,618,14489628.0,21497964.0,34786,1985,11
973,Tasmania,KALGOORLIE,Western Australia,PERTH,31352,7783,252,73.1,538,4187254.0,5728118.0,10647,1985,11
974,Western Australia,KARRATHA,Western Australia,PERTH,31352,11999,233,72.8,1250,14998750.0,20602679.0,16482,1985,11
975,Tasmania,LAUNCESTON,Victoria,MELBOURNE,31352,31235,590,69.6,476,14867860.0,21361868.0,44878,1985,11
976,Victoria,MELBOURNE,Victoria,BURNIE,31352,5891,204,69.5,378,2226798.0,3204026.0,8476,1985,11
977,Victoria,MELBOURNE,Victoria,GOLD COAST,31352,13374,108,82.9,1330,17787420.0,21456478.0,16133,1985,11
978,Victoria,MELBOURNE,Victoria,MILDURA,31352,4286,318,49.3,457,1958702.0,3973026.0,8694,1985,11
979,Victoria,MELBOURNE,Western Australia,PERTH,31352,28051,281,79.6,2706,75906006.0,95359304.0,35240,1985,11
980,Victoria,MELBOURNE,New South Wales,SYDNEY,31352,186644,1593,73.2,706,131770664.0,180014568.0,254978,1985,11
